origin_city;destination_city
Gerona,GRO;Bratislava,BTS
Nis,INI;Bratislava,BTS
Leeds,LBA;Bratislava,BTS
Madrid,MAD;Bratislava,BTS
Manchester,MAN;Bratislava,BTS
London,STN;Bratislava,BTS
Berlin,SXF;Bratislava,BTS
Ovda,VDA;Bratislava,BTS
Malaga,AGP;Budapest,BUD
Athens,ATH;Budapest,BUD
Barcelona,BCN;Budapest,BUD
Bergamo,BGY;Budapest,BUD
Billund,BLL;Budapest,BUD
Bristol,BRS;Budapest,BUD
Beauvais,BVA;Budapest,BUD
Rome,CIA;Budapest,BUD
Copenhagen,CPH;Budapest,BUD
Charleroi,CRL;Budapest,BUD
Dublin,DUB;Budapest,BUD
Edinburgh,EDI;Budapest,BUD
East Midlands,EMA;Budapest,BUD
Gran Canaria,LPA;Budapest,BUD
Madrid,MAD;Budapest,BUD
Manchester,MAN;Budapest,BUD
Naples,NAP;Budapest,BUD
Nuernberg,NUE;Budapest,BUD
Palermo,PMO;Budapest,BUD
Prague,PRG;Budapest,BUD
Pisa,PSA;Budapest,BUD
Marrakech,RAK;Budapest,BUD
London,STN;Budapest,BUD
Berlin,SXF;Budapest,BUD
Treviso,TSF;Budapest,BUD
Ovda,VDA;Budapest,BUD
Valencia,VLC;Budapest,BUD
Alicante,ALC;Beauvais,BVA
Barcelona,BCN;Beauvais,BVA
Bergamo,BGY;Beauvais,BVA
Bologna,BLQ;Beauvais,BVA
Bari,BRI;Beauvais,BVA
Budapest,BUD;Beauvais,BVA
Beziers,BZR;Beauvais,BVA
Cagliari,CAG;Beauvais,BVA
Rome,CIA;Beauvais,BVA
Dublin,DUB;Beauvais,BVA
Faro,FAO;Beauvais,BVA
Fes,FEZ;Beauvais,BVA
Krakow,KRK;Beauvais,BVA
Lisbon,LIS;Beauvais,BVA
Madrid,MAD;Beauvais,BVA
El Aroui,NDR;Beauvais,BVA
Stockholm,NYO;Beauvais,BVA
Porto,OPO;Beauvais,BVA
Oujda,OUD;Beauvais,BVA
Palermo,PMO;Beauvais,BVA
Pisa,PSA;Beauvais,BVA
Marrakech,RAK;Beauvais,BVA
Rabat,RBA;Beauvais,BVA
Sevilla,SVQ;Beauvais,BVA
Tenerife,TFS;Beauvais,BVA
Tanger,TNG;Beauvais,BVA
Treviso,TSF;Beauvais,BVA
Valencia,VLC;Beauvais,BVA
